No,WELL NAME,ABBREVIATION,UWI,BLOCK #,WELL TYPE,LATITUDE,LONGITUDE,NORTHING,EASTING,MSL,CONTROL PT,DATE,SURVEYOR,OPERATOR,PAS,Remark,GISUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,HEGLIG-20,,S01-078a-35-664-01,HEGLIG 2b DA,,10012586N,29234232E,1109004.870,762544.190,400.480,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,HEGLIG-21,,S01-019d-05-687-01,HEGLIG 2b DA,,9590549N,29242804E,1104700.450,763968.610,400.460,BAS-001," June24,99",Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,HEGLIG-22,,S01-051d-06-687-01,HEGLIG 2b DA,,9571364N,29252313E,1101274.670,765672.240,399.660,BAS-001," Aug.11,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,HEGLIG-23,,S01-086b-35-664-01,HEGLIG 2b DA,,10005521N,29225905E,1108053.190,761232.670,400.290,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HEGLIG-24,,S01-097a-35-664-01,HEGLIG 2b DA,,10002398N,29231312E,1107096.590,761668.210,399.920,BAS-001," Feb.15,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,HEGLIG-26,,S01-072a-06-687-01,HEGLIG 2b DA,,9562987N,29254175E,1099933.410,766249.590,399.340,BAS-001," Aug.11,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,HEGLIG-3,,S01-075a-35-664-01,HEGLIG 2b DA,,10011626N,29221007E,1108689.600,759735.780,399.880,BAS-001," Feb.25,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,HEGLIG-4,,S01-099a-35-664-01,HEGLIG 2b DA,,10001565N,29240297E,1106851.350,763189.110,399.590,BAS-001," Feb.18,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,HEGLIG-5,,S01-009c-05-687-01,HEGLIG 2b DA,,9593081N,29240229E,1105472.930,763178.350,399.850,BAS-001," Feb.17,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,HEGLIG-6,,S01-088a-35-664-01,HEGLIG 2b DA,,10004580N,29234021E,1107773.030,762488.800,400.270,BAS-001," Feb.18,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,HEGLIG-7,,S01-097d-35-664-01,HEGLIG 2b DA,,10000484N,29232204E,1106510.060,761944.290,399.790,BAS-001," Feb.18,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,HEGLIG-8X,,S01-029d-05-687-01,HEGLIG 2b DA,,9584424N,29241753E,1104044.920,763653.240,400.100,BAS-001," Feb.17,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,HEGLIG-9,,S01-067a-35-664-01,HEGLIG 2b DA,,10014860N,29230234E,1109695.010,761321.170,400.730,BAS-001," Feb.17,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,KANGA-1,,S01-036a-05-687-01,HEGLIG 2b DA,,9581561N,29223505E,1103142.300,760536.760,399.350,BAS-001," Feb.22,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,KANGA-2,,S01-046b-05-687-01,HEGLIG 2b DA,,9575442N,29224629E,1102493.530,760884.080,399.500,BAS-001," Feb.22,99",Mirghani,#VALUE!,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,KANGA-3,,S01-046a-05-687-01,HEGLIG 2b DA,,9575908N,29223241E,1102633.740,760459.900,399.320,BAS-001," June24,99",Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,KHAIRAT NORTH EAST-1      ,,S01-026a-02-711-01,UNITY 1a EA,,9285899N,29373964E,1049348.320,788521.370,391.030,RR-G56," May01,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,KHAIRAT NORTH EAST-2,,S01-013b-02-711-01,UNITY 1a EA,,9292451N,29362110E,1050114.820,786118.550,390.860,RR-G56," May01,99",Mirghani,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,KHAIRAT NORTH EAST-3      ,,S01-005c-02-711-01,UNITY 1a EA,,9293252N,29370015E,1050370.237,787308.437,391.171,RR-G56," Sep.21,99",Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,KHAIRAT NORTH EAST-4,,S01-037a-02-711-01,UNITY 1b DA,,9282004N,29380543E,1048156.944,789317.643,390.708,RR-G56," Sep.21,99",Ren,#VALUE!,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
